DS_TEST_ID,TestDescription
1,verifying 'selecting  the assignment name field. Max length 100 chars.Verify the name from create assignment/set policies/review & assign pages.
2,Verify dm the student instructions field. Max length 4000 chars.Verify the instruction from create assignment/set policies/review & assign pages.
3,Verify the zero state of 'create assignment' page 
4,"Verify the 'Selecting a question source' modal. Selected textbook, Assignment I created, Create your own question options should be displayed."
5,"Select the textbook and verify the flow. Display of table of content and chapters/question banks. On Select, questions from the Selected chapters should be listed."
6,Select 'Assignments I created' and verify the display of assignments from all the sections of all the courses of this instructor account. Add questions from the assignments I created.
7,"Create your own question -  Launch the question editor and create all these question types.Check All That ApplyEssayFile Attachment
Fill in the Blank
Matching
Multiple Choice
Numeric Response
Ranking
Section Break
Short Answer
Survey
True/False
Worksheet
Yes/No"
8,Verify 'add random Selection'. Add questions randomly as individual questions or to a pool.
9,"Verify the question list in the add questions > list view. 
Verify the question list (questions, question type, info and check boxes)
Verify the 'm' flag for manual grading question.
Verify the filters"
10,Verify auto gradable and non-auto gradable filter validations
11,"Verify the question list in the add questions > Individual view. 
Add questions/section break questions from the individual view
Verify the 'm' flag for manual grading question."
12,Add questions as 'individual questions' from list/individual view
13,Add questions to a pool from  list/individual view. Add questions to a new pool and existing pool.
14,"Verify the Set points  - Entire assignment, each question and specific question type.
Verify the validation for max points value for all cases."
15,Verify the maximum point value for each question and for the assignment
16,Verify questions assigned and points display
17,"Verification of lock for the assignment points - add more questions, delete some questions, Reducing the no of questions drawn from the pool"
18,"Create assignment with pooled questions, delete a question from the pool, moving individual questions to the pool, merging two pools. 
Verify edit pools (rename, move to, merge pools)"
19,"Organize assignments > List view: Drag and drop question, delete question, edit score, move up/down questions, edit pools."
20,Organize assignments > Individual view: Verify the question display and navigations within questions.
21,"Quick view settings: 
Enabling / Disabling AAA from Quick view settings 
Verify question editor from Quick view settings"
22,"Verify AAA feature. 
Create assignment with  AAA option enabled for few questions and take the assignment on student side and verify the scores."
23,"Verify Question editor: 
Launch Question editor and edit the question. Verify the changes made from question editor."
24,Voice recording in Question editor interface
25,Create a zero point assignment and take the assignment on student side
26,Verify default policies for all 4 types (Homework/Practice/Quiz/Exam) in set policies page
27,Verify the positive/negative policy displays in the expanded view of advanced settings (set policies page)
28,Verify start and due date fields. Verify the validations on start and due dates.
29,Create assignment without due date and verify the student's section home page and instruction modal on student side
30,Creating assignments with force grading (auto submit) and verify the force grading on Connect side for students
31,Creating assignments with force grading (auto submit)  and verify the force grading on EZT side for students
