DS_TEST_ID,TestDescription
1,
2,"Connect to the ""Lee"" site using the URL (qa.Lee.com)The site should be connected and the Homepage should be displayedClick on the ""My Account"" Link in the HeaderThe ""Sign in"" screen should be displayedVerify the Sign in screenThe ""Sign in"" screen should have below sections: SIGN IN CREATE ACCOUNT  NOTE:  1. Text fields will not be aligned properly between ""Basic information"" and  ""Change password"" sections.   2. ""*"" must be displayed prior to all required fields in Sign In and My  Account pages. Refer to VFDP - 19276Verify the fields in SIGN IN sectionThe SIGN IN section should have below fields:     * Email address - Text box     * Password - Text box     * SIGN IN - Button     * Forgot Password - LinkVerify the fields in CREATE ACCOUNT sectionThe CREATE ACCOUNT section should have the below fields:     * All fields required - Text      * First Name - Text box (Mandatory)      * Last Name - Text box (Mandatory)      * Email Address - Text box (Mandatory)      * Password - Text box (Mandatory)     * Under password field text message .""Password must contain at least 8       characters and include 1 digit, 1 uppercase letter and 1 lowercase       letter."" should be displayed     * Confirm Password - Text box (Mandatory)      * Create account - button Note:- Message displayed below Password text field and error message  displayed when incorrect password is entered are not matching yet. Test  case will be updated once implemented. "
3,"Connect to the ""Lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedClick on the ""My Account"" Link in the HeaderThe ""Sign in"" screen should be displayedClick on the ""First Name"" text box and then without entering any value in  first name click on ""Last Name"" text boxError message ""This field is required."" should be displayedSimilarly click on all the text box and do not enter any value.Error message ""This field is required."" should be displayedEnter values in mandatory fields. Enter email address which is already  registered and click on the ""Create account"" buttonError message ""THE LOGON ID YOU ENTERED ALREADY EXISTS. TYPE A DIFFERENT  LOGON ID AND TRY AGAIN."" should be displayedEnter values in mandatory fields along with a valid email address and click  on the ""Create account"" buttonThe details should be saved and a new account should be created  successfully and customer should be taken to ""My Accounts: Profile"" page.   Note: Password is not accepted as per the message displayed under the password  text field (Accepted only if it contains 7 characters including digits and  letters)Password must contain at least 8 characters and include 1 digit and 1  letter and 1 uppercase letter and 1 lowercase letter.   Note:- If 1 digit and 1 letter and 1 uppercase letter and 1 lowercase  letter is not given while entering password.It will kick an error message   Password should be taken successfullyVerify the Password tool-tip ""?"" present in Create Account sectionPassword tool-tip ""?"" should be contained within circleLogin and Verify the Password tool-tip ""?"" present in Change Password  sectionPassword tool-tip ""?"" should be contained within circleVerify the placeholder text is not removed Placeholder text should not be removedVerify customer receives customer registration email.  Note: Customer registration Email will not be received for Lee and Wrangler  in Production Refer: VFDP-38270Customer should receive customer registration email after creation of  account. In Customer registration email: Note: It should display pre header text as ""Welcome to Lee.com! Your new  account will make shopping easier."" Refer VFDP-28292"
4,"Connect to the ""Lee"" site using the URL (qa.Lee.com)The site should be connected and the Homepage should be displayedClick on the ""My Account"" Link in the HeaderThe ""Sign in"" screen should be displayedEnter a valid Email ID, Password and Click on ""Sign IN"" ButtonThe User should be logged in successfully and navigated to ""My Account:  Profile""Click on the ""SIGN OUT"" linkThe User should be logged out successfully"
5,"Connect to the ""Lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedClick on the ""My Account"" Link in the HeaderThe ""Sign in"" screen should be displayedEnter an invalid Email Id and valid password and click on the ""Sign in""  buttonThe User should not be logged in and the error message ""EITHER THE LOGON ID  OR PASSWORD ENTERED IS INCORRECT. ENTER THE INFORMATION AGAIN."" should be  displayedEnter an valid email Id and wrong password , then click on the ""Sign in""  buttonThe User should not be logged in and the error message ""EITHER THE EMAIL  ADDRESS OR PASSWORD PROVIDED IS INCORRECT. PLEASE TRY AGAIN."" should be  displayedTry with invalid email address and password for 3 timesAfter 3 invalid logon attempts user should be navigated to Forgot Password  PageVerify whether the below message is displayed after invalid attempts  ""Due to too many unsuccessful logon attempts, you will be unable to log in.  Please enter your email address to get your new password.""  error message should be displayed.Enter the email address  Email address should be entered and Click reset passwordVerify whether email is triggered to the email idEmail should triggered to the customer if the profile or password is  updated"
6,"Connect to the ""Lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedClick on the ""My Account"" Link in the HeaderThe ""Sign in"" screen should be displayedClick on the ""Forgot password"" linkThe ""Reset password"" screen should be opened with a field     * Email address - text box (Mandatory)      * Reset Password - Button      * Cancel - LinkEnter a valid email id which already has an account with Lee and click on  the button ""Reset password""""An email will be sent to you shortly."" message should be displayedVerify whether the email from ""Lee"" has been received for password resetAn email should be received from ""Lee"" with a ""Click Here"" link.Validate the email logo as per give screenshot in attachmentLogo displayed as expected.Verify the reset password confirmation emailIn the reset password confirmation email:     * It should display pre header text as ""See here for instructions on       how to update your password."".""Refer VFDP-28292Click on ""Click Here"" link in email, navigate to ""Rest Password"" page and  verify the attributes of ""Reset Password"" page.   Verify the following attributes on the Reset Password page :     * LEE Logo     * Change Password - Text     * Password must contain at least 8 characters and include 1 digit, 1       uppercase letter and 1 lowercase letter. - Text     * New Password - Text     * Text Box     * Confirm Password - Text     * Text Box     * Change Password - Button     * Headers and footers should not be presentVerify header and footer including only brand logo is displayed on ""Reset  Password"" page. (No other links should be displayed - top nav, catalog  links)Header and footer including only brand logo should be displayed on ""Reset  Password"" page. (No other links should be displayed - top nav, catalog  links)Click on ""Lee"" brand logoHomepage should be displayedEnter a new password and confirm password as only characters and click on  ""RESET PASSWORD"" button""Passwords must contain at least 1 numerical character(s)."" error message  must be displayedEnter a new password and confirm password less than 8 characters and click  on ""RESET PASSWORD"" button""Passwords must contain at least 8 characters."" error message must be  displayedEnter a new password and confirm password as only digits and click on  ""RESET PASSWORD"" button""Your password does not contain 1 letter(s). Passwords must be at least 8  characters in length, and include 1 digit(s) and 1 letter(s). Please  re-enter your password."" error message must be displayedEnter valid new password and a different confirm passwordError message ""Please enter the same value again."" should be displayedEnter valid password in new password text box and confirm password text  box. Click on ""CHANGE PASSWORD"" button.   Customer should be navigated to my account page. ""Your password has been  successfully updated"" message should be displayed in my account page.Click on the ""SIGN OUT"" linkThe User should be logged out successfullyLogin with the new credentialsThe User should be logged in successfullyClick on ""My Account"" link in the headerThe user must be navigated to ""My Account: Profile""Enter correct old password Enter matching passwords in ""Confirm New Password"" and click on ""CHANGE  PASSWORD"" buttonThe password should be saved successfullyVerify whether password reset should clear fields once saved successfully""CHANGE PASSWORD"" section below fields Cleared.     *  Old password  -Text box (Mandatory)      *  New Password -Text box (Mandatory)      *  Confirm New Password-Text box (Mandatory)  Note:Refer VFDP-23923 for more detailsVerify the change password emailPassword updated email should received after saved the password in change  password section. In the change password email: It should display pre header text as ""Your Lee.com password has been  reset."" Refer VFDP-28292"
7,"Connect to the ""Lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Verify the details displayed in ""BASIC INFORMATION"" section""BASIC INFORMATION"" section should display below fields: ACCOUNT EMAIL     * Email address - Text box (Mandatory)  PERSONAL INFO     * First Name - Text box (Mandatory)      * Last Name - Text box (Mandatory)      * Gender - Drop down (optional)      * Birth Date - Text box (optional)      * SAVE INFO - ButtonModify first name and last name. Click on the save buttonThe details should be saved successfullyEnter invalid birthday and verify the ""MM/DD/YYYY"" date format is displayed  in error message""MM/DD/YYYY"" should be displayed in error messageVerify the placeholder text is displayed in edit my profile form.Placeholder text should be displayed in edit my profile form.Verify the placeholder text is displayed in change password formsPlaceholder text should be displayed inside all fields in change password  formClick on lee brand logoUser should be navigated to the homepageClick on My Account link in the Header""My Account: Profile"" page should be openedVerify the modified details are reflected in ""My Account: Profile"" pageThe updated profile details should be displayed in the pageVerify whether email is triggered after updating ProfileThe email should be received be received successfully In profile updation email: It should display pre header text as ""Thanks for keeping us updated. Your  information has been changed.""Refer VFDP-28292"
8,"Connect to the ""Lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Remove value in ""First Name"" and click on ""Save"" buttonError message ""This field is required."" should be displayedRemove value in ""Last Name"" and click on ""Save"" buttonError message ""This field is required."" should be displayedRemove value in ""Email Address"" and click on ""Save"" buttonError message ""This field is required."" should be displayedRemove values present in first name, last name, email address and Click on  lee brand logoUser should be navigated to the homepageClick on My Account link in the Header""My Account: Profile"" page should be openedVerify the existing details are reflected in ""My Account: Profile"" pageThe existing profile details should be displayed in the page"
9,"Connect to the ""Lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Verify the details displayed in ""CHANGE PASSWORD"" section""CHANGE PASSWORD"" section should display below fields: Your password is case sensitive. Six-character minimum. No spaces. Must  include both letters and numbers. Old Password - Text box (Mandatory) New Password - Text box (Mandatory) Confirm New Password - Text box (Mandatory) CHANGE PASSWORD - ButtonEnter wrong old password. Enter valid new password and confirm new password  details. Click on ""CHANGE PASSWORD"" buttonError message ""The password you entered is incorrect. Type your current  password in the Old Password field and try again."" should be displayedEnter valid password in New Password and confirm New Password input field  and click on ""Change Password"" button. Verify the error message ""Type your current password in the Old Password  field."" should be displayed.Error message ""Type your current password in the Old Password field.""  should be displayed after clicking on ""Change Password"" button."
10,"Connect to the ""LEE"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Enter correct temporary passwordCorrect temporary password should be enteredEnter a new password and confirm new password as only characters and click  on ""RESET PASSWORD"" buttonError message ""YOUR PASSWORD DOES NOT CONTAIN 1 DIGIT(S). PASSWORDS MUST BE  AT LEAST 7 CHARACTERS IN LENGTH, AND INCLUDE 1 DIGIT(S) AND 1 LETTER(S).  PLEASE RE-ENTER YOUR PASSWORD."" should be displayedEnter a new password and confirm new password less than 7 characters and  click on ""RESET PASSWORD"" buttonError message ""YOU ENTERED A PASSWORD WITH LESS THAN 7 CHARACTERS.  PASSWORDS MUST BE AT LEAST 7 CHARACTERS IN LENGTH, AND INCLUDE 1 DIGIT(S)  AND 1 LETTER(S). PLEASE RE-ENTER YOUR PASSWORD."" should be displayedEnter a new password and confirm new password as only digits and click on  ""RESET PASSWORD"" buttonError message ""YOUR PASSWORD DOES NOT CONTAIN 1 LETTER(S). PASSWORDS MUST  BE AT LEAST 7 CHARACTERS IN LENGTH, AND INCLUDE 1 DIGIT(S) AND 1 LETTER(S).  PLEASE RE-ENTER YOUR PASSWORD."" should be displayedEnter valid new password (at least 7 characters in length and include 1  digit(s) and 1 letter(s))New password should be enteredEnter unmatching ""Confirm Password""Error message ""Please enter the same value again."""
11,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Click on ""CREDIT CARDS"" linkCredit card page should be displayed with only ""ADD CREDIT CARD"" buttonClick on ""ADD CREDIT CARD"" button""CREDIT CARD INFO"" page should be displayedVerify the details displayed in ""CREDIT CARD INFO"" pageCREDIT CARD INFO page should display two sections: Credit card details  Billing address detailsVerify the fields in credit card detailsCredit card details should display below fields:     * Card Number - text box (Mandatory)      * Expiration Date - Month - Drop down list (Mandatory)      * Expiration Date - Year - Drop down list (Mandatory)      * Security Code - text box (Mandatory)Verify the fields in billing address detailsBilling address details should display below fields:     * Add new address - Drop down list (Mandatory)     * First Name - text box (Mandatory)     * Last Name - text box (Mandatory)     * Street Address - text box (Mandatory)     * Apartment/Unit/Suite - text box (optional)     * Zip Code - text box (Mandatory)     * City - text box (Mandatory)     * State - drop down (Mandatory)     * Country - drop down (Mandatory)     * Email - text box (Mandatory)     * Phone - text box (Mandatory)Verify the buttons and links in ""CREDIT CARD INFO"" page""CREDIT CARD INFO"" page should be displayed below links and buttons: SAVE  THIS CREDIT CARD - Button CANCEL - Link Back To Top - LinkClick on the ""Card Number"" text box and then without entering any value in  first name click on ""Security Code"" text boxError message ""This field is required."" should be displayedSimilarly click on all the text box and do not enter any value.Error message ""This field is required."" should be displayedClick on the ""Phone Number"" text box and then without entering any value in  first name click on ""Email"" text boxError message ""Please match the requested format: Enter phone number with  no spaces or special characters."" should be displayedSelect country as India in ""Country"" drop down list and verify ""State""  field is changed to text box from drop down listOn selection of any country other than United States and Canada state field  should be changed to text box instead of drop down listSelect country as United States in ""Country"" drop down list and verify  ""State"" field is changed to drop down from text boxState should be changed to drop down listClick on ""CANCEL"" link""My Account: Credit Cards"" page should be opened"
12,"Connect to the ""LEE"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Click on ""CREDIT CARDS"" linkCredit card page should be displayed with only ""ADD CREDIT CARD"" buttonClick on ""ADD CREDIT CARD"" button""CREDIT CARD INFO"" page should be displayedEnter VISA credit card details in the below fields: Card Number  (4111111111111111) Expiration Date Security CodeVISA card details should be entered successfullyVerify ""Add new address"" is selected by default""Add new address"" should be selected by default and all the billing address  fields should be empty and in editable modeEnter all the mandatory fields in the billing address sectionAll attributes should be entered successfully.Click on ""SAVE THIS CREDIT CARD""Credit card should be added successfully and user should be navigate to ""My  Account: Credit Cards"" pageVerify the saved credit card details displayed in ""My Account: Credit  Cards"" pageFollowing details should be displayed for saved credit card in ""My Account:  Credit Cards"" page:     * Default selection - radio button      * Card Type - VISA or Master Card or DISCOVER or AMEX Card      * Holder Name      * Billing Address      * Phone Number      * Edit/Delete - Link Note :- In Lee, Card Holder name would not be displayed in devices. It's a  won't fix issue (Refer to defect VFDP-14776)."
